temp_c,ligand,cat_loading,time_s,dG_OA,dG_TM,G_OA_TS,G_TM_TS,dG_boron_hydrolysis,G_Substrate,G_boron_species,k_OA,k_TM,dG_PdLArOH,G_precatalyst
30,PCy3,0.5,60,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,0.5,150,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,0.5,300,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,0.5,600,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,0.5,900,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,1.25,60,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,1.25,150,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,1.25,300,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,1.25,600,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,1.25,900,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,2.5,60,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,2.5,150,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,2.5,300,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,2.5,600,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,2.5,900,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,5.0,60,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,5.0,150,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,5.0,300,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,5.0,600,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PCy3,5.0,900,4.4530532620847225,15.885117047233507,-1181197.4428872638,-1399273.0812285552,0.0,-444179.0608992771,-459272.7749729833,3892468690.0232854,22.32095324514046,11.430260799825191,-1478584.075
30,PPh3,0.5,60,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,0.5,150,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,0.5,300,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,0.5,600,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,0.5,900,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,1.25,60,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,1.25,150,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,1.25,300,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,1.25,600,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,1.25,900,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,2.5,60,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,2.5,150,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,2.5,300,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,2.5,600,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,2.5,900,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,5.0,60,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,5.0,150,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,5.0,300,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,5.0,600,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,PPh3,5.0,900,5.546570197911933,8.663133368827403,-1174558.500460632,-1392639.217443101,0.0,-444179.0608992771,-459272.7749729833,633717362.8033094,3590274.895457588,8.940080769825727,-1471945.331
30,AmPhos,0.5,60,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,0.5,150,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,0.5,300,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,0.5,600,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,0.5,900,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,1.25,60,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,1.25,150,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
30,AmPhos,1.25,300,7.747103866189718,5.87242125114426,-1448645.7249341998,-1666724.7866256689,0.0,-444179.0608992771,-459272.7749729833,16424962.890415384,368965415.2199011,10.014754140051082,-1746024.933
