temp_C,substrate,ligand,OA_barrier_scenario_1,OA_barrier_scenario_2
70,3_chloropyridine,AmPhos,10.34131675073877,33.134344822727144
70,3_bromoquinoline,Catacxium_A,8.716714890208095,26.538657027296722
70,2_chloropyridine,Catacxium_A,8.794585934607312,33.66479726694524
70,3_chloropyridine,Catacxium_A,9.994252108270302,32.65627302182838
70,3_bromoquinoline,RuPhos,19.17528989724815,31.319382013287395
70,2_chloropyridine,RuPhos,17.47850149520673,37.32248999085277
70,3_chloropyridine,RuPhos,14.625089059816673,34.46907755546272
70,3_bromoquinoline,SPhos,10.383769587147981,25.174455802887678
70,2_chloropyridine,SPhos,13.607777937548235,28.3984641530551
70,3_chloropyridine,SPhos,13.644701184239239,28.435387399513274
70,3_bromoquinoline,tBu3,9.711227233987302,21.460153691936284
70,2_chloropyridine,tBu3,6.179822250269353,25.626303773606196
70,3_chloropyridine,tBu3,11.12507942353841,28.70785768586211
70,3_bromoquinoline,XPhos,8.296027270611376,30.904747971333563
70,2_chloropyridine,XPhos,8.923772109439597,32.850311698857695
70,3_chloropyridine,XPhos,14.161973705515265,38.088513295166194
90,3_bromoquinoline,PCy3,7.740238766185939,28.742449491284788
90,2_chloropyridine,PCy3,7.250434421934187,28.873287529917434
90,3_chloropyridine,PCy3,13.492644598474726,35.1154977066908
90,3_bromoquinoline,PPh3,8.142152379266918,22.341959004290402
90,2_chloropyridine,PPh3,7.36661971360445,23.9229830740951
90,3_chloropyridine,PPh3,11.728290164843202,28.28465352533385
90,3_bromoquinoline,AmPhos,10.615884764585644,27.917959386948496
90,2_chloropyridine,AmPhos,7.772972056176513,30.69777349801734
90,3_chloropyridine,AmPhos,10.38312653079629,32.96273588389158
90,3_bromoquinoline,Catacxium_A,8.737428660038859,26.430506247095764
90,2_chloropyridine,Catacxium_A,9.43595477915369,33.474824517033994
90,3_chloropyridine,Catacxium_A,10.000206308206543,32.47058910224587
90,3_bromoquinoline,RuPhos,19.161033508367836,31.067502982448786
90,2_chloropyridine,RuPhos,18.44885087525472,37.076650000177324
90,3_chloropyridine,RuPhos,15.515810520388186,34.14360964531079
90,3_bromoquinoline,SPhos,11.436618366278708,25.041918652132154
90,2_chloropyridine,SPhos,14.460117997834459,28.065418283455074
90,3_chloropyridine,SPhos,14.605847684433684,28.2111479700543
90,3_bromoquinoline,tBu3,9.78624801337719,21.380086921621114
90,2_chloropyridine,tBu3,6.197412280365825,25.453387343790382
90,3_chloropyridine,tBu3,11.171594473649748,28.546412696130574
90,3_bromoquinoline,XPhos,8.361942830495536,30.823067760095
90,2_chloropyridine,XPhos,9.903775429353118,32.678217658773065
90,3_chloropyridine,XPhos,15.11426574527286,37.888707974459976
110,3_bromoquinoline,PCy3,8.117089143954217,28.67766160191968
110,2_chloropyridine,PCy3,8.180834452155977,28.74140691035427
110,3_chloropyridine,PCy3,14.484850678825751,35.045423136791214
110,3_bromoquinoline,PPh3,8.162211769726127,22.33283015526831
110,2_chloropyridine,PPh3,8.251396073726937,23.81439320417121
110,3_chloropyridine,PPh3,12.632120994850993,28.195118125062436
110,3_bromoquinoline,AmPhos,10.623288854490966,27.799520567059517
110,2_chloropyridine,AmPhos,7.784746726276353,30.48871836811304
110,3_chloropyridine,AmPhos,10.42618448077701,32.79189921403304
110,3_bromoquinoline,Catacxium_A,8.759546679444611,26.323542426805943
110,2_chloropyridine,Catacxium_A,10.384455978870392,33.28439790662378
110,3_chloropyridine,Catacxium_A,10.008185758022591,32.28487313166261
110,3_bromoquinoline,RuPhos,19.14736807718873,30.81942139286548
110,2_chloropyridine,RuPhos,19.418359155301005,36.83303149975836
110,3_chloropyridine,RuPhos,16.40688801999204,33.821560364216566
110,3_bromoquinoline,SPhos,12.489290426950902,24.91037985123694
110,2_chloropyridine,SPhos,15.312431127997115,27.733520552515984
110,3_chloropyridine,SPhos,15.567519024247304,27.98860844830051
110,3_bromoquinoline,tBu3,9.863319653552026,21.30039980262518
110,2_chloropyridine,tBu3,6.2160072101978585,25.27914057369344
110,3_chloropyridine,tBu3,11.219547193613835,28.383878425695002
110,3_bromoquinoline,XPhos,9.117714011110365,30.742921351455152
110,2_chloropyridine,XPhos,10.882359249284491,32.507566588930786
110,3_chloropyridine,XPhos,16.065282854950055,37.69049019459635
