temp_C,substrate,boron species (BOH2),boron species (BPin),ligand,case,TM_barrier_scenario_1,TM_barrier_scenario_2
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,10.085721771232784,15.690128164598718
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,13.272543557919562,16.686678978148848
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,2.265690451487899,11.818089335924014
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case1,19.695810422766954,20.523072311189026
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case2,9.114820851245895,12.667014485690743
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,XPhos,case3,13.63360753422603,10.235140914330259
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,XPhos,case4,10.523091319017112,10.207415998913348
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,11.31763487122953,14.152618560940027
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,12.065799621399492,16.938750664005056
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,14.057811212493107,13.98504951223731
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,15.799888427136466,14.31631957553327
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,7.813723591854796,12.292640579864383
