temperature_C,substrate,boron_species_BOH2,boron_species_BPin,ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,0.47905454924330115,-25.62773373676464,-11.461438777390867,-10.631101007107645,4.386392981279641,-25.3515012729913,30.01412671804428,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-14.727102649398148,,-14.020042999647558,-9.308116483036429,-0.9832371398806572,-25.08173550479114,13.74386550951749,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,7.038156313356012,0.47348395036533475,-2.983613102696836,13.957889283075929,13.665041524916887,-10.886562505736947,16.648654627613723,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,SPhos,case3,7.038156313356012,-5.920751749537885,-0.5735413474030793,-1.2354835644364357,7.877827991731465,-14.842610555700958,13.79857974126935,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,SPhos,case4,0.3053163103759289,-29.622060633264482,-12.768418601714075,-7.012783971615136,0.2984420727007091,-31.545242266729474,29.92050270596519,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case1,-4.00165526708588,-5.180382097605616,-7.182262819958851,-3.008052819641307,5.685143245384097,-17.05170456133783,12.867406065342948,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,-10.855415967758745,-6.2193333907052875,-9.264604622265324,-4.244001719867811,0.8211171489674598,-17.42377329734154,11.676533116726205,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,-10.855415967758745,-10.22008978528902,-9.825179675593972,-4.776365729514509,3.4473638823255897,-20.08820926072076,14.302779850084335,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,0.8276254176162183,-12.062682376010343,-5.599452750757337,-6.070322988554835,-3.8046325370669365,-31.312761549372226,8.258049838943407,1bar
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case1,-13.89798857551068,-20.70075203385204,-14.041749127209187,-1.3418066082522273,5.654061296023428,-14.710208010859787,26.35481332987547,1bar
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case2,-26.899496155790985,-22.577958684414625,-11.31681738095358,-8.540390313602984,-2.2019965294748545,-12.174628131091595,24.69749962631613,1bar
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,XPhos,case3,-26.899496155790985,-28.123961749486625,-16.6377817154862,-11.724288792349398,-3.0041741812601686,-15.166484178043902,25.119787568226457,1bar
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,XPhos,case4,-36.561572899110615,-40.1895912559703,-27.632683866191655,-27.31700854608789,-17.109592547174543,-42.43890736438334,23.079998708795756,1bar
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-35.45399212650955,-27.890490441117436,-12.919301925692707,-9.762309077661484,-1.601667054463178,-17.723318418953568,33.85232507204637,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-20.39179222472012,-20.300646564923227,-10.88133457256481,-10.422021712176502,1.1844650488346815,-17.377996512223035,21.576257273554802,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-20.39179222472012,-29.245663658715785,-14.265896196011454,-12.21200103405863,-0.2080849832855165,-20.301682649180293,29.037578675430268,1bar
