temp_C,substrate,boron species (BOH2),boron species (BPin),ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,-1.4649904507566989,-29.515823736764638,-13.405483777390867,-12.575146007107644,2.4423479812796414,-25.3515012729913,31.95817171804428,1M
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-16.671147649398147,,-15.964087999647557,-11.252161483036428,-2.927282139880657,-25.08173550479114,13.74386550951749,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,5.094111313356012,-3.4146060496346653,-4.927658102696836,12.01384428307593,11.720996524916888,-10.886562505736947,16.648654627613723,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,SPhos,case3,5.094111313356012,-9.808841749537885,-2.5175863474030793,-3.1795285644364357,5.933782991731465,-14.842610555700958,15.74262474126935,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,SPhos,case4,-1.6387286896240711,-33.51015063326448,-14.712463601714074,-8.956828971615135,-1.645602927299291,-31.545242266729474,31.86454770596519,1M
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case1,-5.94570026708588,-9.068472097605616,-9.12630781995885,-4.952097819641307,3.741098245384097,-17.05170456133783,12.867406065342948,1M
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,-12.799460967758744,-10.107423390705288,-11.208649622265323,-6.188046719867811,-1.1229278510325402,-17.42377329734154,11.676533116726205,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,-12.799460967758744,-14.10817978528902,-11.769224675593971,-6.7204107295145095,1.5033188823255896,-20.08820926072076,15.611498667614608,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,-1.1164195823837817,-15.950772376010343,-7.543497750757337,-8.014367988554834,-5.7486775370669365,-31.312761549372226,10.202094838943406,1M
30,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case1,-15.84203357551068,-24.58884203385204,-15.985794127209186,-3.2858516082522273,3.7100162960234284,-14.710208010859787,28.29885832987547,1M
